startup_name,sector,city,investors,stage,amount_usd,description
Career Anna,Online Education,Gurugram,Individual Investors,Pre-Series A,572000.0,"Online Education - Video-based certification, trainings"
Nagpur Wholesale,Online Marketplace,Nagpur,Omphalos Ventures India Llp,Seed,143000.0,Online Marketplace - eCommerce
Shopkirana,B2B,Indore,"Info Edge, Aet Fund, Akatsuki And Incubate Fund From Japan And Better Capital Angellist Syndicate.",Seed,2000000.0,B2B - eCommerce
Buildsupply,"Saas, Ecommerce",Gurugram,"Venture Highway, Gree Ventures, Space Matrix, Individual Investors",Series A,3500000.0,"SaaS, Ecommerce - Real Estate, ERP"
Godesi,Food And Beverage,Bengaluru,Lead Angels Network,Seed,138995.0,Food and Beverage - Regional Flavours
Veritas Finance Ltd.,Nbfc,Chennai,"Norwest Venture Partners, Cdc Group, The Uk\\Xe2\\X80\\X99S Development Finance Institution And P Surendra Pai",Series D,27799000.0,NBFC - MSME Finance
Meesho,Ecommerce,Bengaluru,"Shunwei Capital, Dst Partners And Rps Ventures",Series C,50000000.0,Ecommerce - Social Commerce
Mobile Premier League,Gaming,Bengaluru,Undisclosed,Series A,500000.0,Gaming - Mobile e-Sports
A&R Bon Vivants,Food,Jaipur,"Rb Investments, Singapore",Equity,1000000.0,Food - Meat Retail Chain
Blackbuck,Food Tech,"New York, Bengaluru",Tiger Global,Series A,1000000.0,Food Tech - POS For Online Ordering
Milkbasket,Food,Delhi,Mayfield Fund,Series B,1300000.0,Food - Micro-delivery grocery service
Driveu,Transport,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0,Transport - On-Demand Drivers
Cleansecar,Services,Bengaluru,Venture Catalysts,Seed,500000.0,Services - Car Wash
Automation Anywhere,Automation,California,Softbank Vision Fund,Series B,300000000.0,Automation - Robotics
Healthifyme,Health And Wellness,Bengaluru,"Sistema Asia Fund, Vc Samsung Next, Chiratae Ventures, Inventus Capital, Blume Ventures And Innoven Capital.",Series B (Extension),6000000.0,Health and Wellness - Wellness Coach
Genius Corner,Education,Noida,Individual Investors,Seed,278000.0,Education - Personalized Learning
Aavishkaar-Intellecap Group,Investment,Mumbai,Teachers Insurance And Annuity Association (Tiaa),Equity Based Funding,31000000.0,Investment - SME Funding
Signzy,Financial Tech,Mumbai/Bengaluru,"Stellaris Venture Partners And Kalaari Capital, Rajan Anandan From Google, Dilip Khandwelwal From Sap Labs India, And Amrish Rau From Payu India",Series A,3400000.0,Financial Tech - Digital Onboarding Solution
Engineer.Ai,Software,India/Us,"Lakestar And Jungle Ventures, Softbank\\Xe2\\X80\\X99S Deepcore.",Series A,29500000.0,Software - AI Platform
Incred Finance,Finance,India,"Paragon Partners, Individual Investors",Private Equity,42000000.0,Finance - SME Lending
Roposo,Social Media,Delhi,Bertelsmann India Investments,Series B,1700000.0,Social Media - Video Sharing
Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian And Hivos-Triodos Fund",Seed,11000000.0,Logistics - Supply Chain
Grover Zampa,Food,Mumbai,Ravi Viswanathan,Private Equity,8200000.0,Food - Wine
Droom,Automobile,Gurugram,Zigexn,Series E,3000000.0,Automobile - New and Used Cars Platform
Innov8,Real Estate,Delhi,Credence Family Office,Pre-Series A,4000000.0,Real Estate - Co-Working
Blackbuck,Logistics Tech,Bengaluru,Sequoia Capital India,Private Funding,14680000.0,Logistics Tech - Largest Trucking Platform
Letstransport,Logistics Tech,Bengaluru,Fosun International,Series C,12000000.0,Logistics Tech - Book Trucks Online
Netmeds,Consumer Internet,Chennai,"Sistema Asia Fund, Sistema Jsfc And Tanncam Investment",Private Equity,35000000.0,Consumer Internet - Online Pharmacy Chain
Udaan,B2B Platform,Bengaluru,Dst Global And Lightspeed Venture Partners\\Xe2\\X80\\X99 Global Fund.,Private Equity,225000000.0,B2B Platform - Logistics and Shipping
Daily Hunt,Consumer Internet,Bengaluru,Falcon Edge,Private Equity,6390000.0,Consumer Internet - News and ebooks Mobile App\\xc2\\xa0
Nykaa,Consumer Internet,Mumbai,Lighthouse,Private Equity,157200000.0,Consumer Internet - Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products
Dream11,Consumer Internet,Mumbai,"Tencent, Kalaari Capital And Private Equity Firm Multiples Alternate Asset Management",Private Equity,100000000.0,Consumer Internet - Online Gaming Platform
Mamaearth,Healthcare,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0,Healthcare - Online Marketplace For Mother and Babycare Products
Autogrid,Technology,Bengaluru,"Clp Holdings Group, Innogy, \\Xc3\\X98Rstead, And Tenaska",Private Equity,32000000.0,Technology - AI-Based Energy Optimisation and Control Provider
Pharmeasy,Consumer Internet,Mumbai,Innoven Capital,Debt Funding,5500000.0,Consumer Internet - Online Marketplace For Pharmaceutical Products
Upwards,Fin-Tech,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000.0,Fin-Tech - Online Micro Lending Marketplace
Kissht,Fin-Tech,Mumbai,"Vertex Ventures Southeast Asia (Sea) And India And Sistema Asia Fund, Fosun Rz Capital, Ventureast, And Endiya Partners.\\N\\N",Private Equity,30000000.0,Fin-Tech - Online lending Platform
Dishq,Food-Tech,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth And Artesian Venture Partners",Seed,400000.0,Food-Tech - Personalisation Technology Firm Focusing On The Food And Beverage Industry
Samosa Labs,Consumer Internet,Hyderabad,Xiaomi And Sequoia Capital India,Private Equity,7000000.0,Consumer Internet - Social Media and Chat Entertainment Platform
Ziffyhomes,Consumer Internet,Gurugram,Y Combinator,Private Equity,120000.0,Consumer Internet - Online Home Rental Marketplace
Shopx,Consumer Internet,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0,Consumer Internet - Assisted E-commerce Platform
Makemytrip,Consumer Internet,Gurugram,Makemytrip Limited,Private Equity,10000000.0,Consumer Internet - Online Travel Aggregator
Hansel Io,Consumer Internet,Bengaluru,Vertex Ventures,Seed,4000000.0,Consumer Internet - Real-time Mobile App Management
Metro Bikes,Consumer Internet,Bengaluru,"Sequoia Capital India Advisors, Accel Partners And G Raghunandan",Private Equity,12200000.0,Consumer Internet - Online Bike Rental Marketplace
Phone Pe,Consumer Internet,Bengaluru,Flipkart,Private Equity,66000000.0,Consumer Internet - UPI Payments App
Quizizz,Ed-Tech,Bengaluru,"Nexus Venture Partners, Prime Venture Partners And Others",Seed,3000000.0,Ed-Tech - e-learning Platform
Happy Emi,Fin-Tech,Bengaluru,Aj Ventures And Jain International Trade Organisation (Jito),Seed,1000000.0,Fin-Tech - Consumer Financing Platform
Inthree,Consumer Internet,Chennai,"Ventureast, Orios Venture Partners And The Ian Fund",Seed,4000000.0,Consumer Internet - Rural E-commerce Platform
Observe Ai,Technology,Bengaluru,"Nexus Venture Partners, Mgv, Liquid 2 Ventures, Hack Vc, Emergent Ventures And Y Combinator",Private Equity,8000000.0,Technology - AI Based Solutions Platform
Eazydiner,Consumer Internet,Gurugram,Denlow Investment Trust And Beenext,Private Equity,5850000.0,Consumer Internet - Online Restaurant Table Reservation Platform
Rawpressery,Consumer Internet,Mumbai,Alteria Capital,Debt Funding,4800000.0,Consumer Internet - Online Organic Juice Delivery Service
Pi Ventures,Technology,Bengaluru,Cdc Group Plc\\Xc2\\Xa0,Private Equity,6000000.0,Technology - Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform
Revv,Consumer Internet,Gurugram,"Hyundai, Edelweiss And Beenext, Dream Incubator, Sunjay Kapoor And Telama Investment",Private Equity,14270000.0,Consumer Internet - Online Indian Car Rental Platform
Zestmoney,Consumer Internet,Bengaluru,"Xiaomi,Payu, Ribbit Capital And Omidyar Network",Private Equity,13400000.0,Consumer Internet - Online Lending Platform
Shubh Loans,Fin-Tech,Bengaluru,"Saama Capital, Sri Capital, Beenext, And Pravega Ventures",Private Equity,4200000.0,Fin-Tech - \\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0
Myupchar,Healthcare,Delhi,"Nexus Venture Partners, Omidyar Network And Shunwei Capital",Private Equity,5000000.0,Healthcare - Local Language Health Content App
Narvar,It,Bengaluru,Accel (Formerly Known As Accel Partners),Private Equity,3000000.0,IT - Post-Purchase Customer Engagement Platform\\xc2\\xa0
Biryani By Kilo,Consumer Internet,Gurugram,Ajay Relan And Vinay Mittal,Seed,1000000.0,Consumer Internet - Online Food Delivery
Anchanto,It,Pune,Mdi Ventures & Telkom Indonesia,Private Equity,4000000.0,IT - E-commerce Fulfilment Platform
Loan Tap,Consumer Internet,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, Vc Firms India Quotient And Kae Capital",Private Equity,6250000.0,Consumer Internet - Online Lending Platform For Salaried Professionals
Policybazaar,Consumer Internet,Gurugram,Info Edge (India) Ltd And Temasek,Private Equity,27700000.0,Consumer Internet - Online Insurance Selling Platform
Zippserv,Consumer Internet,Bengaluru,Info Edge (India) Ltd,Seed,440000.0,Consumer Internet - Online Platform For Risk-Assessment Services For Real Estate Investments
Groww,Consumer Internet,Bengaluru,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed,1100000.0,Consumer Internet - Online Platform That Sells Direct Plans Of Mutual Funds
Avenue Growth,Consumer Internet,Gurugram,"Avtar Monga, Chief Operating Office At Idfc Bank, Aditya Malik & Others",Seed,437000.0,Consumer Internet - Online Platform That Connects Brands With Freelance Sales Professionals
Kinara Capital,Finance,Bengaluru,Responsability,Private Equity,5000000.0,Finance - Lending Platform For Micro and Small Enterprises
Shop 101,Consumer Internet,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, And Ramakant Sharma",Private Equity,5000000.0,Consumer Internet - Mobile Storefront And Commerce Platform For Sellers
Sambandh,Consumer Internet,Rourkela,Base Of Pyramid Asia (Bopa) Pte Ltd,Private Equity,2500000.0,Consumer Internet - Online Micro Lending Platform
19Th Mile,It,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta And Others",Seed,180000.0,IT - Artificial intelligence-based sales acceleration software platform
5Th Vital,Healthcare,Bengaluru,Brand Capital And Others,Seed,500000.0,Healthcare - Home diagnostics services provider
Mengage,Healthcare,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-Founders Lab And Others.",Seed,175000.0,Healthcare - A Doctor-Patient Engagement Platform
Ofbusiness,Finance,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India And Zodius Capital",Private Equity,29000000.0,Finance - Online Lending Platform For SME
Cars24,Consumer Internet,Gurugram,"Kingsway Fci Fund, Kck Global & Others",Private Equity,49700000.0,Consumer Internet - Online Used Car Marketplace
The Ken,Consumer Internet,Bengaluru,Omidyar Network & Others,Seed,1500000.0,Consumer Internet - Subscription-Only News Website
Book My Show,Consumer Internet,Mumbai,"Tpg Growth, The Rise Fund & Others",Private Equity,100000000.0,Consumer Internet - Online Ticketing Platform
Paysense,Consumer Internet,Mumbai,Payu & Others,Private Equity,18000000.0,Consumer Internet - Online Consumer Lending Platform
Vtion,Technology,Gurugram,"Angellist, Rahul Khanna, Rajeev Arora And Ram Ramsundar.",Seed,280000.0,Technology - Media Analytics
Log9 Materials,Technology,Bengaluru,"Metaform Ventures, Hemant Luthra, Micro Venture Capital Firm Gems Partners And Others",Seed,436000.0,Technology - Nanotechnology Company Specializing In Graphene
Kidovators,Ed-Tech,Bengaluru,Gray Matters,Seed,180000.0,Ed-Tech - Skill Learning Platform
Digit,Consumer Internet,Pune,Fairfax,Private Equity,45000000.0,Consumer Internet - Online Insurance Startup
Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education And Mahavir Agency",Private Equity,17000000.0,Finance - Non-Banking Financial Company
Trell,Consumer Internet,Bengaluru,"Beenext , Weh Ventures And Sprout Ventures",Seed,1250000.0,Consumer Internet - Mobile-First Video Blogging App
Iqlect,Technology,Bengaluru,Ventureast And Exfinity,Seed,2500000.0,Technology - Data Analytics Firm
Entropik,It,Bengaluru,"Bharat Innovation, Idfc-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed,1100000.0,IT - Software-As-A-Service Platform
Thecapitalnet,Fin-Tech,Hyderabad,Lindwall Family Investments Llc (Lfi),Private Equity,500000.0,Fin-Tech - Unified Global Investments Ecosystem
Shuttl,Consumer Internet,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.0,Consumer Internet - Bus Aggregation Platform
Cure Fit,Consumer Internet,Bengaluru,"Idg Ventures, Accel Partners, Kalaari Capital And Others",Private Equity,120000000.0,Consumer Internet - Health and fitness Platform
Five Star Group,Fin-Tech,Chennai,"Tpg, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,100000000.0,Fin-Tech - Non-Bank Lending Platform For SME
Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Seed,5000000.0,Healthcare - Health and Well being Platform
Cointribe,Finance,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000.0,Finance - Credit-Based Lending Marketplace For Small And Medium Enterprises
Digiconectt,Technology,Bengaluru,Aspire Logistics Llc,Seed,125000.0,Technology - Sales Analytics and Enablement Platform
Annapurna Finance,Finance,Bhubneswar,Oman India Joint Investment Fund (Oijif),Private Equity,23000000.0,Finance - Non-Banking Financial Company
Meesho,Consumer Internet,Bengaluru,"Sequoia Capital India, Saif Partners, Y Combinator And Venture Highway",Private Equity,11500000.0,Consumer Internet - Online Marketplace For Resellers
Ayefinance,Finance,Gurugram,"Capitalg, Saif Partners And Lgt Impact Ventures",Private Equity,21500000.0,Finance - Online Lending Platform
Alpha Capital,Finance,Mumbai,Alpha Capital,Private Equity,14800000.0,Finance - Supplychain Finance
Eshakti,E-Commerce,Chennai,Paragon Partners,Private Equity,10100000.0,E-Commerce - Fashion e-tailer
Daily Ninja,Consumer Internet,Bengaluru,Saama Capital And Sequoia Capital,Seed,3000000.0,Consumer Internet - Hyperlocal Delivery Platform
Nirogstreet,Healthcare,Gurugram,"Spiral Ventures, Subho Ray And Samir Kumar",Seed,300000.0,Healthcare - An Online Platform That Connects Ayurveda Doctors With Patients
Nivesh,Finance,Noida,"Letsventure, Rajan Anandan, Basab Pradhan, Vivek Khare And Bijoy George",Seed,450000.0,Finance - Mass Market Mutual Fund Investment Platform
Homelane,Consumer Internet,Bengaluru,Brand Capital,Seed,3450000.0,Consumer Internet - Online Home Furnishing Solutions
